"","Sample_ID","X.coordinate","Y.coordinate","height_NAP","color","calcareous_portion","main_soil_type","organic_portion","sand_median_class"
"1","BE160025",12353,671328,-38.74,"brown-gray","calcareous","sand",NA,"very coarse"
"2","BE160026",12356,671316,-38.69,"brown-gray",NA,"gravel",NA,"very coarse"
"3","BE160040",17481,680577,-34,"brown-gray","non-calcareous","sand",NA,"very coarse"
"4","BE160041",16043,680302,-33.89,"brown-gray","slightly calcareous","sand",NA,"very coarse"
"5","BE160042",16586,679189,-35.77,"brown-gray","slightly calcareous","sand",NA,"moderately fine"
"6","BE160045",15796,677707,-37.27,"brown","calcareous","gravel",NA,"very coarse"
"7","BE160073",13877,673829,-39.32,"brown","slightly calcareous","gravel",NA,"extremely coarse"
"8","BE160076",12045,673646,-38.14,"brown","slightly calcareous","sand",NA,"very coarse"
"9","BE160081",13374,672334,-38.18,"brown-gray","slightly calcareous","sand",NA,"extremely coarse"
"10","BE160082",13284,673081,-39.3,"brown","slightly calcareous","sand",NA,"extremely coarse"
"11","BE160083",12647,672277,-38.35,"brown","slightly calcareous","gravel",NA,"extremely coarse"
"12","BE160113",15901,679440,-37.07,"brown","calcareous","sand",NA,"very coarse"
"13","BE160114",17070,678199,-37.98,"brown","calcareous","sand",NA,"very coarse"
"14","BE160119",16306,676862,-37.86,"brown","calcareous","sand",NA,"moderately coarse"
"15","BE160120",16064,675758,-38.92,"brown","calcareous","sand",NA,"moderately coarse"
"16","BE160124",12138,673209,-38.83,"brown","calcareous","sand",NA,"moderately coarse"
"17","BE160125",12682,671800,-37.99,NA,NA,"gravel",NA,"coarse category (O)"
"18","BE160128",17990,678036,-38.03,"brown","calcareous","gravel",NA,"very coarse"
"19","BE160170",11857,682825,-38.35,"brown-gray","calcareous","gravel",1,"extremely coarse"
"20","BE160207",11948,682349,-36.9,"light--gray-brown","calcareous","sand",1,"very coarse"
"21","BE160208",11946,683332,-35.36,"light--gray-brown","calcareous","gravel",1,"extremely coarse"
"22","BE160215",12623,685674,-36.15,"light--gray-brown","calcareous","gravel",1,"extremely coarse"
"23","BE160216",12258,681757,-35.43,"light--gray-brown","calcareous","gravel",1,"moderately fine"
"24","BE160218",12333,682762,-36.95,"light--gray-brown","calcareous","gravel",1,"extremely coarse"
"25","BE160224",12763,682367,-36.3,"light--gray-brown","calcareous","gravel",1,"extremely coarse"
"26","BE160228",12973,686284,-37.49,"light--brown-yellow","calcareous","sand",NA,"very coarse"
"27","BE160233",13383,685874,-37.58,"light--brown-olive","calcareous","gravel",1,"very coarse"
"28","BE160234",13329,684887,-35.81,"light--brown-yellow","calcareous","sand",NA,"very coarse"
"29","BE160235",13357,683855,-37.53,"light--gray-brown","calcareous","gravel",1,"extremely coarse"
"30","BE160236",13271,682881,-37.41,"light--gray-brown","calcareous","gravel",1,"extremely coarse"
"31","BE160237",13218,681904,-36.74,"light--gray-brown","calcareous","gravel",1,"extremely coarse"
"32","BE160240",13668,681374,-36.5,"light--gray-brown","calcareous","gravel",1,"extremely coarse"
"33","BE160241",13815,682360,-37.54,"light--gray-brown","calcareous","gravel",1,"extremely coarse"
"34","BE160259",15204,684070,-37.68,"light--brown-yellow","calcareous","sand",1,"extremely coarse"
"35","BE160261",15635,684620,-38.21,"light--gray-brown","calcareous","gravel",1,"extremely coarse"
"36","BE160262",14719,684641,-38.01,"light--gray-brown","calcareous","gravel",1,"extremely coarse"
"37","BE160264",15745,685597,-36.99,"light--brown-yellow","calcareous","sand",1,"extremely coarse"
"38","BE160265",16884,685507,-33.76,"brown-gray","calcareous","sand",1,"moderately fine"
"39","BE160267",16204,686075,-36.28,"light--brown-yellow","calcareous","sand",NA,"very coarse"
"40","BE160311",12934,683688,-37.4,NA,NA,"gravel",NA,"extremely coarse"
"41","BE160316",12677,682465,-37.26,"brown","slightly calcareous","sand",NA,"moderately coarse"
"42","BE160345",12929,683096,-36.75,NA,NA,"gravel",NA,"extremely coarse"
"43","BE160348",12834,683126,-36.63,NA,NA,"gravel",NA,"extremely coarse"
"44","BE160351",12933,683424,-37.3,NA,NA,"gravel",NA,"very coarse"
"45","BE160354",13033,683398,-37.1,NA,NA,"gravel",NA,"extremely coarse"
"46","BE160357",13127,683701,-37.04,NA,NA,"gravel",NA,"extremely coarse"
"47","BE160360",13043,683720,-36.43,NA,NA,"gravel",NA,"very coarse"
"48","BE160407",12682,682536,NA,NA,NA,"gravel",NA,"very coarse"
"49","BE160408",13000,682695,NA,NA,NA,"gravel",NA,"very coarse"
"50","BE160409",12524,682851,NA,NA,NA,"gravel",NA,"very coarse"
"51","BE160410",13076,682943,NA,"brown-yellow","calcareous","sand",NA,"very coarse"
"52","BE160411",12607,683099,NA,NA,NA,"gravel",NA,"extremely coarse"
"53","BE160412",13156,683178,NA,NA,NA,"gravel",NA,"very coarse"
"54","BE160413",12677,683345,NA,NA,NA,"gravel",NA,"very coarse"
"55","BE160414",13235,683453,NA,NA,NA,"gravel",NA,"very coarse"
"56","BE160415",12757,683684,NA,NA,NA,"gravel",NA,"very coarse"
"57","BE160416",13084,683742,NA,NA,NA,"gravel",NA,"very coarse"
"58","BE160439",13042,683719,-37.78,"light--gray-brown","slightly calcareous","gravel",0,"extremely coarse"
"59","BE160440",13127,683701,-36.77,"light--brown-yellow","calcareous","gravel",1,"extremely coarse"
"60","BE160441",13033,683398,-36.5,"brown-gray","slightly calcareous","gravel",0,"extremely coarse"
"61","BE160442",12933,683424,-36.18,"light--brown-olive","calcareous","sand",0,"extremely coarse"
