,obs_swe,met_Qair_avg,met_Rainf_avg,met_Rainf_max,met_Snowf_avg,met_LWdown_avg,met_LWdown_dav,met_SWdown_avg,met_SWdown_dav,met_Tair_avg,met_Tair_int,met_Wind_avg,met_Wind_max
1997-10-01,,0.0055970834,0.0,0.0,0.0,299.01248,299.47275,136.36667,0.0,13.141671,315.4001159667969,3.7958333,6.5
1997-10-02,,0.005545,0.0,0.0,0.0,296.35834,268.2909,128.1375,0.0,13.9375105,334.500244140625,3.7666667,6.0
1997-10-03,,0.0034820836,3.4725e-06,2.778e-05,0.0,260.82498,245.6909,108.40417,0.0,7.241675,173.80020141601562,3.1208334,5.7
1997-10-04,,0.0032602083,0.0,0.0,0.0,280.80832,284.55457,106.62083,0.0,5.054171,121.30010986328125,2.5916667,4.0
1997-10-05,,0.00355875,1.8219584e-05,0.0002222,1.5166667e-06,258.88748,262.6182,114.395836,0.0,3.4791718,83.5001220703125,2.5541666,3.6
1997-10-06,,0.0036754168,1.0415834e-05,0.0002222,0.0,291.50833,303.41818,110.00833,0.0,7.6208405,182.90017700195312,3.0416667,4.1
1997-10-07,,0.0050860415,0.00023726457,0.0008333,0.0,324.45834,323.25452,15.208333,0.0,3.4125073,81.90017700195312,3.5,5.1
1997-10-08,,0.003715,2.6622083e-06,2.778e-05,4.8333336e-06,286.68332,290.17273,80.80417,0.0,0.15834045,21.500091552734375,3.6916666,5.1
1997-10-09,,0.0034714583,1.09808325e-05,0.0001389,4.4948333e-06,282.9625,301.29092,105.49167,0.0,1.0500069,25.7501220703125,3.2666667,4.9
1997-10-10,,0.0049120835,2.5194167e-05,0.0002222,5.1329043e-06,298.70416,279.17276,38.833332,0.0,2.6375046,63.30010986328125,2.1083333,2.6
1997-10-11,,0.00506,3.8135e-05,0.0004722,7.5875e-08,321.19168,322.14548,28.691666,0.0,3.5291722,84.70013427734375,2.9041665,5.7
1997-10-12,,0.0029485414,1.1575e-06,2.778e-05,5.98125e-06,285.2875,273.94547,41.275,0.0,-1.6499964,6.800018310546875,7.3250003,9.2
1997-10-13,,0.0027304168,0.0,0.0,7.7125e-06,287.875,277.7818,31.925001,0.0,-1.44583,0.0,4.8166666,8.2
1997-10-14,,0.0030041665,4.1029168e-07,9.847e-06,7.4e-06,268.52917,253.98183,78.55417,0.0,0.36667252,15.650054931640625,2.9833333,4.9
1997-10-15,,0.0049425,5.7875e-06,0.0001389,0.0,273.86667,267.14548,110.99583,0.0,8.229169,197.50006103515625,3.3500001,5.2
