,obs_swe,met_Qair_avg,met_Rainf_avg,met_Rainf_max,met_Snowf_avg,met_LWdown_avg,met_LWdown_dav,met_SWdown_avg,met_SWdown_dav,met_Tair_avg,met_Tair_int,met_Wind_avg,met_Wind_max
1997-10-01,,0.006248646,0.0,0.0,0.0,289.4319,288.7619934082031,130.87083,30.1455020904541,10.464798,251.1551513671875,4.458125,8.585
1997-10-02,,0.006146792,0.0,0.0,0.0,296.88333,315.822509765625,137.55708,28.72049903869629,14.042714,337.025146484375,4.1002083,6.855
1997-10-03,,0.0040218127,3.4722082e-06,8.3333e-05,0.0,266.13104,245.5419921875,94.86584,34.97949981689453,6.762919,162.31005859375,3.4095833,5.93
1997-10-04,,0.0031374583,1.0184084e-05,0.0001730295,1.990854e-05,272.8229,243.9925079345703,89.05709,36.30649948120117,4.709802,113.03524780273438,2.5658333,5.48
1997-10-05,,0.0037727084,1.6273334e-06,2.7778e-05,6.875e-07,259.82312,257.4115295410156,110.36355,34.13500213623047,3.315422,79.57012939453125,2.8933334,5.18
1997-10-06,,0.003775604,2.3148334e-06,2.7778e-05,0.0,277.87292,261.3445129394531,109.55271,28.403499603271484,5.827091,139.85018920898438,3.0735416,5.03
1997-10-07,,0.0050371876,0.00015509292,0.0005,0.0,325.9529,325.7485046386719,15.62375,1.340499997138977,3.4797986,83.51516723632812,4.623542,6.815
1997-10-08,,0.0037792707,1.5931813e-06,2.7778e-05,1.2295771e-05,293.27335,294.82598876953125,71.40063,15.319999694824219,0.34917322,18.99505615234375,5.1541667,6.475
1997-10-09,,0.0034114793,4.461875e-07,1.07085e-05,3.427619e-05,273.38998,258.5254821777344,100.07834,27.493999481201172,-0.15020244,11.8250732421875,3.5893753,4.735
1997-10-10,,0.004403771,2.4751457e-06,5.1695e-05,9.971083e-07,309.77563,314.9888916015625,33.983128,1.9266667366027832,1.1462568,27.510162353515625,2.8391666,3.9
1997-10-11,,0.0048765624,1.3127355e-05,0.00011421,5.3911876e-06,321.34125,325.7200012207031,23.85021,1.9622222185134888,2.547507,61.140167236328125,4.0825,6.335
1997-10-12,,0.0035038542,1.641096e-05,0.0001168765,9.8908255e-05,299.2325,291.13623046875,36.748127,2.4156250953674316,-1.1677042,7.155029296875,7.659167,9.385
1997-10-13,,0.0031637084,2.1991667e-08,5.278e-07,1.50242495e-05,292.545,294.96624755859375,42.245625,1.5081249475479126,-1.2104111,0.0,5.6356254,8.035
1997-10-14,,0.0030687917,0.0,0.0,0.0,264.66187,281.32562255859375,62.315,3.6443750858306885,-0.83832425,4.6300048828125,3.36125,4.96
