,obs_swe,met_Qair_avg,met_Rainf_avg,met_Rainf_max,met_Snowf_avg,met_LWdown_avg,met_LWdown_dav,met_SWdown_avg,met_SWdown_dav,met_Tair_avg,met_Tair_int,met_Wind_avg,met_Wind_max
1997-10-01,,0.00618575,0.0,0.0,0.0,283.26248,282.01318,128.0827,51.938637,10.904175,261.7001953125,2.2289584,3.635
1997-10-02,,0.006010417,0.0,0.0,0.0,291.8904,315.95505,138.82396,58.102272,14.776256,354.630126953125,2.2441666,3.58
1997-10-03,,0.0038191667,0.0,0.0,0.0,259.62292,250.48546,113.2925,57.306362,7.431465,178.35516357421875,2.0152085,3.105
1997-10-04,,0.0030610834,0.0,0.0,0.0,264.115,241.79591,83.875206,58.022274,4.4783363,107.48007202148438,1.7022916,2.595
1997-10-05,,0.0037595835,1.3888918e-05,0.00025,0.0,251.61646,249.00726,110.040215,57.342728,3.0016747,72.04019165039062,1.7772917,2.345
1997-10-06,,0.003646854,1.1574167e-06,2.7778e-05,0.0,270.2556,257.1623,107.70416,56.289097,6.218553,149.24526977539062,1.8602084,2.7
1997-10-07,,0.005103896,0.00019676033,0.00133335,0.0,319.70395,320.09726,18.281668,2.358182,3.9022968,93.65512084960938,2.3410418,3.8
1997-10-08,,0.0037137708,0.0,0.0,0.0,285.63147,288.5715,61.59396,27.694,0.91542435,27.185089111328125,2.2566667,2.68
1997-10-09,,0.003201479,0.0,0.0,1.1574167e-06,261.5323,243.05151,103.96583,57.227,0.64667386,27.680084228515625,1.8125,2.425
1997-10-10,,0.0043184166,7.110298e-05,0.00055222,6.443277e-06,304.69812,309.199,29.367708,12.971001,1.1845919,28.430206298828125,1.4002084,2.24
1997-10-11,,0.0048296666,5.316e-06,5.2945e-05,1.6284672e-06,314.50998,320.1325,23.063543,9.6075,2.671669,64.12005615234375,2.1000001,2.79
1997-10-12,,0.0034700835,5.1979373e-06,6.91945e-05,4.0613313e-06,288.04605,283.85953,42.634583,23.328999,-0.37603506,14.345062255859375,3.8672917,4.96
1997-10-13,,0.0030397084,6.24419e-07,7.6665e-06,2.8477916e-06,281.83688,288.9472,53.806873,8.908889,-0.3281199,3.6650390625,3.3222916,5.69
1997-10-14,,0.0029035416,2.1551043e-06,1.8653e-05,2.4745625e-06,248.62627,259.17834,76.06542,11.328333,-0.23207729,11.610076904296875,2.0510416,3.27
1997-10-15,,0.0049884166,0.0,0.0,0.0,270.68686,283.08386,93.99896,24.962778,7.0710473,169.70513916015625,1.7916666,2.305
1997-10-16,,0.005484104,1.1574167e-06,2.7778e-05,0.0,311.9094,304.24664,69.14833,12.684444,11.436048,274.46514892578125,1.4733334,1.955
1997-10-17,,0.005589646,9.027779e-05,0.000555555,0.0,323.29666,328.06555,33.918125,3.3138888,6.3362556,152.07012939453125,1.551875,2.335
1997-10-18,,0.004431521,2.419625e-05,0.000249998,1.2667916e-06,306.8579,307.45724,32.321667,7.2477775,2.0797985,49.9151611328125,0.951875,1.825
1997-10-19,,0.003092625,4.5139583e-07,1.08335e-05,7.650417e-06,256.77353,260.11667,63.463333,27.75222,-1.3120779,24.51007080078125,2.91625,4.69
1997-10-20,,0.0022469999,0.0,0.0,0.0,249.81146,240.46613,62.037918,6.966111,-5.0310326,0.0,1.361875,2.535
1997-10-21,,0.0032408333,0.0,0.0,0.0,289.64542,291.23834,23.465834,1.2833333,-1.8422865,0.0,1.2666667,2.66
1997-10-22,,0.0032393748,0.0,0.0,1.04166675e-05,290.27396,292.94498,22.543123,2.936111,-2.211034,0.0,1.9745833,2.515
1997-10-23,,0.002202,0.0,0.0,0.0,234.91353,249.68831,55.864376,5.996111,-6.1485343,0.0,1.2852083,2.325
1997-10-24,,0.0020785208,0.0,0.0,0.0,240.39397,230.43,67.42292,9.14,-5.630619,0.0,1.0089583,1.795
1997-10-25,,0.0023893125,0.0,0.0,0.0,252.98688,228.20001,75.37646,23.240625,-2.6718674,0.7900390625,1.780625,2.625
1997-10-26,,0.0036359166,5.953173e-05,0.000388885,7.5978955e-06,295.99478,282.62064,60.047085,27.039375,2.431258,58.63519287109375,1.5202084,2.195
1997-10-27,,0.0037676042,5.6244e-05,0.000527775,4.6875002e-07,275.0969,252.38943,56.95042,12.883889,2.7058384,68.52511596679688,3.1727083,3.925
1997-10-28,,0.0022120625,0.0,0.0,0.0,225.16667,213.35313,37.58125,1.070625,-4.0441613,0.0,1.8975,3.865
1997-10-29,,0.0022707917,0.0,0.0,0.0,249.34271,236.63,49.451874,1.713125,-5.787912,0.0,1.7841667,2.36
1997-10-30,,0.003422375,0.0,0.0,1.1574167e-05,291.86417,295.47565,14.896251,0.01875,-1.854159,0.0,0.95875,1.255
1997-10-31,,0.0037384375,0.0,0.0,1.1574167e-05,295.58,296.5657,24.951874,0.0,-0.6874924,0.765045166015625,0.20479167,0.785
1997-11-01,,0.0038207083,0.0,0.0,1.1574167e-05,295.28793,291.11856,17.2425,0.0,-0.15978749,2.425048828125,0.48729166,1.24
1997-11-02,,0.0030030208,0.0,0.0,0.0,275.7298,288.45712,18.2575,0.0,-3.3970795,0.0,1.1560416,1.885
1997-11-03,,0.002216479,0.0,0.0,0.0,272.6446,271.30356,28.59375,0.0,-6.2399955,0.0,1.4045833,2.15
1997-11-04,,0.0026869792,0.0,0.0,0.0,258.71625,286.075,35.826664,0.0,-3.4166577,0.0,1.0072917,1.51
1997-11-05,,0.0038994167,0.0,0.0,0.0,280.56958,298.30142,60.948124,0.0,3.289796,79.14010620117188,1.6102084,2.095
1997-11-06,,0.0045461874,0.000103195205,0.00055556,9.722291e-07,311.37332,319.3743,37.332706,0.0,4.9656296,119.17510986328125,1.0529166,1.79
1997-11-07,,0.0032609168,0.0,0.0,0.0,223.31209,213.11427,62.86479,0.0,-0.17061996,30.964996337890625,1.8635416,2.6
1997-11-08,,0.002220375,0.0,0.0,1.1809167e-05,247.24812,207.20358,18.292082,0.0,-5.1949935,0.0,1.5466666,2.29
1997-11-09,,0.0019241666,0.0,0.0,0.0,237.15666,245.76714,37.708958,0.0,-6.333326,0.0,1.1,1.55
1997-11-10,,0.0015797708,0.0,0.0,0.0,205.42896,193.04915,56.337082,0.0,-8.731453,0.0,1.4560417,2.54
1997-11-11,,0.002124625,0.0,0.0,0.0,227.74626,234.82585,30.818125,0.0,-4.9633307,0.0,2.2277083,3.07
1997-11-12,,0.0019728541,0.0,0.0,0.0,247.56166,267.30753,16.797083,0.0,-6.698326,0.0,1.8589582,3.28
1997-11-13,,0.001316125,0.0,0.0,0.0,176.13936,171.41168,68.73563,0.0,-9.962285,0.0,1.31625,1.915
1997-11-14,,0.0016830834,0.0,0.0,0.0,186.38771,186.71251,72.46438,0.0,-8.056243,0.0,1.6908334,2.14
1997-11-15,,0.0018954166,0.0,0.0,0.0,220.42688,199.51332,59.69542,0.0,-3.8868701,0.904998779296875,2.2283332,2.95
