,obs_swe,met_Qair_avg,met_Rainf_avg,met_Rainf_max,met_Snowf_avg,met_LWdown_avg,met_LWdown_dav,met_SWdown_avg,met_SWdown_dav,met_Tair_avg,met_Tair_int,met_Wind_avg,met_Wind_max
1988-10-01,0.0,0.0048165964,0.0,0.0,0.0,301.66666,318.6154,203.0,233.53847,14.979173,359.5001525878906,1.5291667,2.5
1988-10-02,0.0,0.0046122083,0.0,0.0,0.0,304.20834,323.3846,196.91667,225.3077,16.32084,391.7001647949219,1.5833334,2.4
1988-10-03,0.0,0.0045000906,0.0,0.0,0.0,309.08334,326.46155,194.54167,221.3077,17.075003,409.8000793457031,1.9458333,2.5
1988-10-04,0.0,0.0040599317,0.0,0.0,0.0,298.45834,322.84616,192.04167,218.46153,14.941673,358.60015869140625,1.4375,2.0
1988-10-05,0.0,0.0045503695,0.0,0.0,0.0,298.79166,315.15384,185.79167,208.84616,14.083341,338.00018310546875,1.5166668,2.8
1988-10-06,0.0,0.0044661714,0.0,0.0,0.0,299.45834,318.6154,185.16667,208.92308,14.679173,352.3001708984375,1.7416667,3.4
1988-10-07,0.0,0.0042636595,0.0,0.0,0.0,293.16666,310.15384,189.33333,218.53847,13.870841,332.9001770019531,1.5166668,2.2
1988-10-08,0.0,0.004021788,0.0,0.0,0.0,294.54166,315.15384,183.83333,209.92308,14.12917,339.10009765625,1.8249999,4.4
1988-10-09,0.0,0.00377004,0.0,0.0,0.0,286.20834,303.3846,180.66667,205.76923,12.595838,302.30010986328125,2.6458333,7.0
1988-10-10,0.0,0.0040675476,0.0,0.0,0.0,288.79166,298.84616,183.66667,212.92308,12.916672,310.0001220703125,2.5083334,3.4
1988-10-11,0.0,0.0045422385,0.0,0.0,0.0,306.08334,334.84616,140.41667,134.61539,11.533341,276.8002014160156,2.0625,3.1
1988-10-12,0.0,0.004773343,0.0,0.0,0.0,292.58334,306.6154,144.54167,176.61539,10.400006,249.60015869140625,1.8791666,3.1
1988-10-13,0.0,0.004767234,0.0,0.0,0.0,302.875,328.30768,146.0,148.07692,10.175004,244.20010375976562,2.9833333,7.2
1988-10-14,0.0,0.0051017366,0.0,0.0,0.0,281.375,290.53845,170.33333,200.92308,8.850006,212.400146484375,2.6958332,3.6
1988-10-15,0.0,0.005888751,0.0,0.0,0.0,301.125,314.69232,144.41667,148.23077,10.94167,262.60009765625,2.5291667,4.0
1988-10-16,0.0,0.0066155526,0.0,0.0,0.0,314.70834,334.6154,146.66667,170.76923,11.925008,286.2001953125,2.6416667,3.8
1988-10-17,0.0,0.006113346,0.0,0.0,0.0,294.5,310.30768,135.41667,135.3077,9.95417,238.90008544921875,1.475,2.8
1988-10-18,0.0,0.0058710836,0.0,0.0,0.0,310.75,339.30768,145.0,156.3077,11.162507,267.9001770019531,2.1583333,3.3
1988-10-19,0.0,0.005349048,0.0,0.0,0.0,275.33334,289.15384,161.79167,186.76923,6.900003,165.60006713867188,2.0458333,3.1
1988-10-20,0.0,0.00458279,0.0,0.0,0.0,283.875,297.53845,159.08333,183.38461,10.14584,243.50015258789062,1.2583333,2.3
1988-10-21,0.0,0.004484347,0.0,0.0,0.0,293.5,312.57144,151.0,205.42857,12.012509,288.30023193359375,2.3583333,3.6
1988-10-22,0.0,0.003756656,0.0,0.0,0.0,272.0,289.64285,144.16667,188.28572,7.3708396,176.900146484375,1.3541666,2.5
1988-10-23,0.0,0.00424196,0.0,0.0,0.0,279.91666,292.64285,151.79167,202.35715,9.40834,225.8001708984375,1.75,3.8
1988-10-24,0.0,0.004361312,0.0,0.0,0.0,283.70834,299.57144,148.0,196.92857,10.212508,245.10018920898438,1.1625,2.4
1988-10-25,0.0,0.004395078,0.0,0.0,0.0,292.79166,306.7143,147.91667,197.92857,12.775006,306.60015869140625,1.7291666,3.1
1988-10-26,0.0,0.0033258547,0.0,0.0,0.0,262.83334,289.2143,127.666664,164.21428,5.3333397,142.80014038085938,1.9666667,3.6
1988-10-27,0.0,0.0031169895,0.0,0.0,0.0,271.70834,284.85715,127.541664,165.0,7.3333383,176.0001220703125,1.6833334,2.5
1988-10-28,0.0,0.0032997888,0.0,0.0,0.0,278.25,294.64285,131.54167,175.21428,8.058341,193.40017700195312,1.4250001,2.2
1988-10-29,0.0,0.0033736622,0.0,0.0,0.0,269.79166,279.0,141.29167,190.64285,8.750008,210.00018310546875,1.3666667,2.1
1988-10-30,0.0,0.0034424972,0.0,0.0,0.0,272.58334,279.2857,137.04167,184.28572,9.375009,225.00021362304688,1.8708333,3.5
1988-10-31,0.0,0.0039133783,0.0,0.0,0.0,287.66666,292.6,123.833336,169.86667,11.541675,277.00018310546875,1.8333334,2.9
1988-11-01,0.0,0.0047223596,6.25e-05,0.0005,2.3148148e-06,305.625,318.64285,71.916664,95.78571,6.9333405,166.40017700195312,2.9458332,4.2
1988-11-02,0.0,0.0050658803,0.00025549767,0.0010277778,2.6909722e-05,290.91666,307.92856,50.708332,47.42857,3.145841,75.50018310546875,3.7875001,5.6
1988-11-03,0.0,0.0046591293,0.0,0.0,1.6203703e-05,281.58334,301.5,68.5,70.78571,2.5291698,60.7000732421875,3.7166665,5.2
1988-11-04,0.0,0.004461792,0.0,0.0,0.0,278.91666,291.2857,76.125,89.92857,3.3375027,80.10006713867188,1.8208333,4.4
1988-11-05,0.0,0.0048839096,5.2083337e-06,0.000125,6.886574e-05,282.08334,299.35715,88.0,123.71429,6.0416756,154.10015869140625,3.3208332,4.6
1988-11-06,1.0,0.0030835336,0.0,0.0,0.0,240.41667,249.73334,76.458336,97.53333,-2.6916618,2.000030517578125,2.2083333,4.2
1988-11-07,0.0,0.0036469568,0.0,0.0,0.00014120371,273.41666,279.4,37.625,42.2,-2.6083286,0.300018310546875,2.1708333,3.5
1988-11-08,14.0,0.0033269369,0.0,0.0,4.050926e-05,264.70834,274.73334,36.625,38.0,-3.912492,0.0,1.1208333,2.2
1988-11-09,14.0,0.0039714444,0.0,0.0,0.0002789352,273.66666,268.66666,57.5,78.6,-1.0999972,0.300018310546875,2.7916667,3.4
1988-11-10,34.0,0.003944604,0.0,0.0,3.3564815e-05,252.375,267.4,69.5,73.666664,-1.5916609,2.70001220703125,2.3500001,3.5
1988-11-11,32.0,0.003868347,0.0,0.0,9.953704e-05,277.04166,271.8,45.833332,62.866665,-1.19583,4.00006103515625,2.3833334,3.9
1988-11-12,39.0,0.0040025744,0.0,0.0,0.00026273148,271.125,280.93332,42.375,41.666668,-1.3624941,2.10003662109375,2.1333334,3.7
1988-11-13,52.0,0.0037065248,0.0,0.0,0.00012962963,271.20834,277.6,58.166668,77.26667,-2.458327,8.10003662109375,2.7541666,4.0
1988-11-14,61.0,0.0027080977,0.0,0.0,2.3148148e-06,228.66667,236.0,64.958336,77.86667,-5.820826,0.0,1.9333334,3.2
1988-11-15,59.0,0.0033422774,0.0,0.0,3.0092591e-05,248.75,253.8,55.125,70.53333,-3.8624916,0.0,1.7541666,3.0
1988-11-16,61.0,0.0034592645,0.0,0.0,0.00047800926,256.75,266.2,55.75,66.53333,-3.3333294,0.0,3.2041667,5.0
1988-11-17,91.0,0.002975221,0.0,0.0,2.8935186e-05,227.83333,233.0,79.958336,100.2,-5.312494,0.0,2.7583332,3.4
1988-11-18,92.0,0.002354627,0.0,0.0,0.0,222.08333,232.8,75.416664,89.26667,-6.8666596,0.0,2.0583334,3.0
1988-11-19,90.0,0.0027311642,0.0,0.0,7.523148e-05,221.5,220.93333,96.333336,127.13333,-3.3666599,0.0,2.1375,3.1
