Date,obs_swe,Qair,Rainf,Snowf,LWdown,SWdown,Tair,Wind
2005-10-01,,0.01031375,4.804875e-05,0.0,372.42502,68.5,17.437504,1.3625001
2005-10-02,,0.007316875,3.99925e-05,0.0,328.55,162.0,15.075008,2.95
2005-10-03,,0.0052501247,0.0,0.0,302.55002,165.575,13.800007,2.1375
2005-10-04,,0.00732425,3.36825e-05,0.0,316.26248,133.5,14.875011,2.7
2005-10-05,,0.00500525,0.0,0.0,264.9625,189.0625,13.212502,1.2875
2005-10-06,,0.006265125,0.0,0.0,284.85,177.7625,14.400005,1.6
2005-10-07,,0.008865625,0.00022086625,0.0,366.69998,100.4375,16.53751,2.2
2005-10-08,,0.008088625,6.302375e-05,0.0,352.63748,78.9,13.975006,2.3500001
2005-10-09,,0.005671875,0.0,0.0,287.05002,172.2625,14.587505,1.0749999
2005-10-10,,0.00732325,1.024875e-05,0.0,324.92502,132.97499,14.662498,1.225
2005-10-11,,0.007266,0.0,0.0,312.73752,165.95,14.775005,1.4875001
2005-10-12,,0.00733225,0.0,0.0,295.75,169.97499,15.100014,1.25
2005-10-13,,0.008494374,0.0,0.0,327.17502,161.1,16.325005,2.475
2005-10-14,,0.008796375,0.00010782125,0.0,352.42502,80.424995,15.050007,2.325
2005-10-15,,0.007376375,1.2439999e-05,0.0,337.57498,104.5,14.550003,1.4499999
2005-10-16,,0.005847625,0.0,0.0,287.05002,154.97499,13.775005,1.7875
2005-10-17,,0.006256875,6.51625e-06,0.0,302.375,129.8625,13.550007,2.0125
2005-10-18,,0.004045,0.0,0.0,260.5,156.225,9.162506,1.5375
2005-10-19,,0.005234875,0.0,0.0,279.025,146.21251,12.750004,0.55
2005-10-20,,0.0062715,0.0,0.0,283.3375,144.575,13.5,1.1625
2005-10-21,,0.007057,9.828e-05,0.0,337.67502,84.0875,13.600006,1.2375001
2005-10-22,,0.0074,6.321625e-05,0.0,340.4125,34.9875,11.78751,1.8125
2005-10-23,,0.0061217495,1.2987499e-06,0.0,329.2125,65.4,11.887508,2.575
2005-10-24,,0.005144625,5.06875e-06,0.0,307.63748,110.75,10.950005,3.5249999
2005-10-25,,0.0034013751,4.045e-06,0.0,264.94998,114.2875,7.312504,3.2749999
2005-10-26,,0.004962625,0.0,0.0,261.80002,144.575,11.112503,1.6125001
2005-10-27,,0.00607725,0.0,0.0,287.9,131.425,11.887505,1.4625
2005-10-28,,0.007130375,3.30125e-05,0.0,338.725,85.575005,13.387505,2.075
2005-10-29,,0.007013125,0.00010665875,0.0,331.61252,58.4875,10.312504,2.4125001
2005-10-30,,0.0048712497,2.393625e-05,0.0,296.0625,78.075,6.775009,1.6750001
2005-10-31,,0.0043828753,0.0,0.0,282.6875,152.36667,8.591666,1.3291667
