,obs_swe,met_Qair_avg,met_Rainf_avg,met_Rainf_max,met_Snowf_avg,met_LWdown_avg,met_LWdown_dav,met_SWdown_avg,met_SWdown_dav,met_Tair_avg,met_Tair_int,met_Wind_avg,met_Wind_max
2005-10-01,,0.0050060833,0.0,0.0,1.1574167e-05,233.61665,226.25832,226.28499,305.69083,5.3648796,128.75711059570312,4.0935,7.32
2005-10-02,,0.0053585,0.0,0.0,0.0,259.32083,260.34167,172.93208,225.23749,4.5429215,109.03012084960938,4.23325,6.99
2005-10-03,,0.0063105416,1.1574167e-05,0.00027778,2.3148334e-05,300.13333,304.14166,110.09475,137.70534,4.667464,112.01913452148438,4.2034583,7.1
2005-10-04,,0.003907625,2.3148334e-05,0.00027778,5.7870417e-05,233.64583,204.31667,139.15016,224.605,0.4066302,30.135040283203125,5.751,11.28
2005-10-05,,0.004172,0.0,0.0,0.0,236.1125,269.48334,209.4705,267.02164,2.5639648,61.53515625,3.0145416,5.205
2005-10-06,,0.0030777834,0.0,0.0,0.0,198.18333,188.45833,225.81,303.04666,2.2546718,54.753082275390625,3.1639166,6.085
2005-10-07,,0.0042174584,0.0,0.0,0.0,213.02917,215.02501,229.13008,311.2875,4.064715,97.55316162109375,3.0098333,4.681
2005-10-08,,0.0050345417,3.47225e-05,0.00055556,0.00037037084,291.17084,285.69998,158.55667,235.99165,0.03892517,31.342071533203125,3.5172083,7.14
2005-10-09,,0.0040027914,0.0,0.0,6.9445e-05,286.9625,285.61667,155.65208,201.67168,-4.6932855,0.647003173828125,2.3450415,6.342
2005-10-10,,0.0036610833,0.0,0.0,1.1574167e-05,272.69168,262.75,155.26546,215.39166,-5.295952,0.0,2.0765,5.719
2005-10-11,,0.0034068332,0.0,0.0,0.0,228.22499,199.24165,160.86916,248.2925,-4.0474114,9.795013427734375,2.7839584,5.237
2005-10-12,,0.0039382917,0.0,0.0,0.0,212.3,193.92499,208.32332,294.94083,-1.6638693,18.7540283203125,2.2532084,4.159
2005-10-13,,0.0023396707,0.0,0.0,0.0,198.40417,202.675,220.61829,305.2375,2.8649242,69.05615234375,2.542875,4.714
2005-10-14,,0.003686,0.0,0.0,0.0,210.85417,204.58333,196.5603,263.36667,3.4329617,86.26104736328125,2.0173333,4.379
2005-10-15,,0.00437675,0.0,0.0,1.1574167e-05,263.24167,260.17502,178.74956,250.35333,1.1249657,38.380096435546875,1.745375,2.734
2005-10-16,,0.0040473333,0.0,0.0,0.0,214.10417,193.68335,177.96791,276.865,1.5245514,43.409149169921875,3.1083333,5.025
2005-10-17,,0.0032519752,0.0,0.0,0.0,214.49165,211.45,183.76088,274.11667,4.0286307,96.6871337890625,2.9609585,4.776
2005-10-18,,0.0050156666,4.629625e-05,0.00083333,0.00030092584,295.55417,281.75003,92.96392,151.1075,-1.5735792,11.22802734375,3.33625,6.631
2005-10-19,,0.0042830417,0.0,0.0,0.0,246.23334,231.77501,168.53838,251.33,-2.2885742,6.4150390625,3.6540415,5.902
2005-10-20,,0.0039525,0.0,0.0,0.0,208.12083,204.24998,195.60683,269.03418,0.11417135,38.44903564453125,2.4424584,4.454
2005-10-21,,0.0031937084,0.0,0.0,0.0,198.65001,195.09999,200.72272,288.37247,1.9990501,48.85919189453125,3.5062916,5.549
2005-10-22,,0.0035757085,0.0,0.0,0.0,199.09583,194.09167,196.97154,282.6525,0.7761319,41.986114501953125,3.4274585,5.764
2005-10-23,,0.00301275,0.0,0.0,0.0,192.60834,184.99165,194.89293,281.3942,1.3491732,48.0380859375,2.35275,4.09
2005-10-24,,0.0025124585,0.0,0.0,0.0,191.07916,195.36665,185.90791,262.36084,2.6629639,64.06011962890625,3.062167,5.526
2005-10-25,,0.004211792,0.0,0.0,1.1574167e-05,248.29584,259.70834,189.28197,271.07925,0.08558909,35.641082763671875,2.5549166,5.293
2005-10-26,,0.003899875,0.0,0.0,0.0,213.74165,216.55833,168.45917,226.84917,-0.9884122,13.276031494140625,2.1050417,4.418
2005-10-27,,0.0039982917,0.0,0.0,0.0,247.12083,252.96667,164.72383,231.49736,-0.76091003,8.973052978515625,4.493,7.23
2005-10-28,,0.0041427915,0.0,0.0,0.0001041675,280.82083,277.025,107.21255,163.2575,-2.7627842,0.0,3.4119167,6.229
2005-10-29,,0.00349975,0.0,0.0,2.3148334e-05,244.39583,250.15001,116.18796,179.1075,-4.5527396,0.0,3.0372498,5.607
2005-10-30,,0.0025793042,0.0,0.0,0.0001041675,232.90001,208.00832,122.18945,195.37468,-7.514829,0.0,4.2635417,7.1
2005-10-31,,0.002194125,0.0,0.0,0.0,184.97083,178.78333,180.92291,262.7075,-1.0666199,12.907989501953125,4.2218747,5.881
2005-11-01,93.0,0.0018001668,0.0,0.0,0.0,191.10417,191.54167,175.19667,253.15752,2.9691327,71.25918579101562,3.6007917,7.05
2005-11-02,,0.0023774584,0.0,0.0,3.47225e-05,248.24165,261.5167,114.86237,141.35393,-0.03916041,27.880035400390625,5.5330834,8.26
2005-11-03,,0.002744125,0.0,0.0,1.1574167e-05,218.02501,201.60834,109.3805,172.04083,-2.9050357,0.0,5.8275833,8.81
2005-11-04,,0.0025234167,0.0,0.0,0.0,229.03749,243.59999,138.77525,196.45549,-4.3789544,0.0,5.6949162,7.69
2005-11-05,,0.0024448333,0.0,0.0,0.0,199.60417,192.53334,170.43762,241.46617,-4.5146165,0.951019287109375,3.0855834,6.599
2005-11-06,,0.002537,0.0,0.0,0.0,239.97917,250.89998,143.68346,200.23108,0.87458926,24.6461181640625,5.2045417,8.32
2005-11-07,,0.0022116667,0.0,0.0,0.0,251.29167,250.68335,68.691124,114.91975,0.8745906,21.970123291015625,3.882375,7.05
2005-11-08,,0.0026745002,0.0,0.0,0.0,234.86665,235.75,91.388756,136.55417,1.4221319,34.208160400390625,3.4003751,5.806
2005-11-09,,0.003789625,0.0,0.0,0.0,228.85417,223.55835,109.442505,161.06667,1.796964,45.25311279296875,2.0437083,3.222
2005-11-10,,0.003999625,0.0,0.0,2.3148334e-05,238.3625,254.61665,97.8075,112.175835,1.4388796,44.871124267578125,2.5409584,3.591
2005-11-11,,0.0036382081,0.0,0.0,0.000266205,280.42084,284.33334,71.37333,107.766754,-5.783993,0.0,5.0586247,7.99
2005-11-12,,0.0031566666,0.0,0.0,0.0,230.28333,220.22499,146.29517,196.72273,-5.6635766,0.0,4.663,7.87
2005-11-13,,0.0034234168,0.0,0.0,2.3148334e-05,279.05002,273.05835,96.095955,155.96442,-4.978952,0.0,4.195208,6.316
2005-11-14,,0.0021271084,0.0,0.0,0.00019676,233.59167,198.07501,104.73075,172.36816,-11.265076,0.0,6.384375,10.56
2005-11-15,,0.0016240751,0.0,0.0,1.1574167e-05,166.07083,173.875,160.455,233.925,-8.872788,0.0,3.7434168,6.134
2005-11-16,,0.0025857917,0.0,0.0,0.0,173.27917,169.45834,157.21208,230.17499,-5.82333,0.0,4.6720414,6.103
2005-11-17,,0.0016041208,0.0,0.0,1.1574167e-05,192.875,160.4,153.01534,217.79167,-8.873741,0.0,3.083875,6.175
2005-11-18,,0.00168925,0.0,0.0,0.0,192.15001,205.5,155.76958,227.04167,-6.3368707,0.0,4.7009997,8.07
2005-11-19,,0.0016276584,0.0,0.0,0.0,167.0625,174.47502,152.67876,223.55833,-4.8108687,0.820037841796875,3.762625,7.53
2005-11-20,,0.0015060041,0.0,0.0,0.0,174.02501,173.97499,150.07292,219.18333,-0.7944934,15.60302734375,3.0569582,4.946
2005-11-21,,0.0012692125,0.0,0.0,0.0,164.72499,161.375,150.29707,219.70001,-1.6773695,21.13201904296875,3.656125,4.641
2005-11-22,,0.00089037494,0.0,0.0,0.0,154.25417,153.425,140.22084,199.1675,-2.0142872,17.049041748046875,3.275875,4.798
2005-11-23,,0.0008989209,0.0,0.0,0.0,184.92915,201.22499,131.41542,183.88081,-3.0447845,9.372039794921875,3.6581666,4.757
2005-11-24,,0.0010319209,0.0,0.0,0.0,156.59584,153.775,133.605,215.65834,-5.8908715,0.678985595703125,3.23725,4.955
2005-11-25,,0.0016041793,0.0,0.0,1.1574167e-05,210.34999,240.30833,121.08709,162.75333,-3.685992,1.701019287109375,4.73975,7.03
2005-11-26,,0.0016022084,0.0,0.0,9.2593335e-05,231.62917,225.40001,85.097046,121.17249,-14.544078,0.0,5.901708,9.75
2005-11-27,,0.0010777875,0.0,0.0,4.6296667e-05,208.77083,194.06665,113.94167,159.1075,-18.757284,0.0,6.0082498,7.02
