,obs_swe,met_Qair_avg,met_Rainf_avg,met_Rainf_max,met_Snowf_avg,met_LWdown_avg,met_LWdown_dav,met_SWdown_avg,met_SWdown_dav,met_Tair_avg,met_Tair_int,met_Wind_avg,met_Wind_max
2005-10-01,,0.005507,0.0,0.0,1.1574167e-05,250.84583,242.65001,211.81123,287.29333,7.13534,171.2481689453125,1.1667917,1.775
2005-10-02,,0.0056962087,0.0,0.0,0.0,274.08334,276.31668,128.97458,174.10918,7.2856736,174.85617065429688,1.3184999,2.451
2005-10-03,,0.006769708,3.47225e-05,0.00055556,0.0,310.3375,318.46664,104.18142,128.93867,7.717379,185.21710205078125,1.4574584,1.97
2005-10-04,,0.004562083,8.101875e-05,0.00083333,0.0,248.95833,221.45,124.24375,203.28667,2.2906291,64.46807861328125,1.6725416,2.985
2005-10-05,,0.004802792,0.0,0.0,0.0,247.85834,278.19165,197.86542,241.2025,3.7517154,90.04116821289062,1.2548751,2.158
2005-10-06,,0.004636292,0.0,0.0,0.0,215.31667,205.68333,216.54393,269.73203,3.0508778,79.5240478515625,1.1437917,2.082
2005-10-07,,0.0045310417,0.0,0.0,0.0,229.1875,231.09999,215.81496,281.6525,5.519838,132.47610473632812,1.0968751,1.598
2005-10-08,,0.005409375,0.00015046333,0.0011111,0.00025463,300.90128,298.15933,139.75267,194.40492,2.3602562,64.360107421875,0.6401667,1.736
2005-10-09,,0.0044845,0.0,0.0,6.9445e-05,298.1493,296.84543,156.7755,203.91333,-2.6614952,9.212066650390625,1.094,1.608
2005-10-10,,0.0042255,0.0,0.0,1.1574167e-05,284.3237,274.69232,161.27405,227.35707,-3.5321567,1.110015869140625,0.78879166,1.665
2005-10-11,,0.004081583,0.0,0.0,0.0,241.24467,213.16576,175.59753,277.74307,-2.5442455,16.85302734375,0.5920417,1.386
2005-10-12,,0.0042593335,0.0,0.0,0.0,240.22942,235.15283,203.56978,285.4195,-0.59378433,35.42706298828125,0.76775,1.175
2005-10-13,,0.0035799583,0.0,0.0,0.0,209.95833,212.65001,215.053,288.54126,2.0940056,80.90408325195312,0.8304167,1.182
2005-10-14,,0.004086917,0.0,0.0,0.0,225.41667,220.27498,192.81139,247.865,4.1087584,103.84613037109375,1.03275,1.921
2005-10-15,,0.0048469165,1.1574167e-05,0.00027778,0.0,278.86252,280.03333,178.46266,250.80165,3.4551303,82.92312622070312,0.70979166,1.73
2005-10-16,,0.004765625,0.0,0.0,0.0,239.675,213.13332,161.04596,257.95023,2.1355057,67.50906372070312,0.8315417,1.983
2005-10-17,,0.004227125,0.0,0.0,0.0,230.22499,224.27501,174.4759,259.25168,3.8457134,93.30508422851562,1.0720834,1.827
2005-10-18,,0.0055895415,0.00017361082,0.0011111,0.00017361126,301.6962,293.07358,98.39512,161.46883,1.0790901,38.502105712890625,0.35033333,1.439
2005-10-19,,0.0048477915,0.0,0.0,0.0,258.691,244.68384,168.60887,251.41492,-0.056162518,23.290069580078125,0.92337495,2.203
2005-10-20,,0.0046565835,0.0,0.0,0.0,247.35901,260.53513,194.85713,267.39902,1.0016327,58.506072998046875,0.6219167,1.061
2005-10-21,,0.003980208,0.0,0.0,0.0,213.05833,208.49168,198.13179,270.70358,2.4290874,69.9000244140625,1.089125,2.032
2005-10-22,,0.004136083,0.0,0.0,0.0,214.98334,209.70836,194.74101,269.887,2.0327568,70.61709594726562,0.89862496,1.84
2005-10-23,,0.0035809998,0.0,0.0,0.0,208.95416,202.39168,192.65541,267.23666,1.6802126,65.0140380859375,0.90533334,1.932
2005-10-24,,0.0037457498,0.0,0.0,0.0,210.72499,213.38332,185.4325,252.44585,2.7090874,70.18106079101562,1.1533333,1.984
2005-10-25,,0.00443625,0.0,0.0,1.1574167e-05,259.50418,273.14166,187.77422,265.07425,2.3207588,67.69110107421875,0.82445836,2.211
2005-10-26,,0.004213625,0.0,0.0,0.0,225.925,227.95833,164.05833,211.44585,0.62271625,40.115081787109375,1.031375,2.368
2005-10-27,,0.004239458,0.0,0.0,0.0,258.1,263.59164,159.60208,225.05333,2.1266735,51.289154052734375,1.1655416,1.8
2005-10-28,,0.0045672916,0.0,0.0,0.0001041675,291.20615,287.99567,105.85854,165.62608,0.11400732,22.202117919921875,0.9656667,1.688
2005-10-29,,0.0037892081,0.0,0.0,2.3148334e-05,256.9108,262.48544,116.22842,179.1075,-2.7424939,9.58001708984375,0.93700004,1.837
